symbol	Control_1	Control_2	MSC_1	MSC_2	MSC_3	Control_1
ABLIM3	5	3	0	0	2	2
ABO	12.97	39.06	22	1	8	0
ABR	2299	2489	1527.97	1737.22	2121	1948
ABRA	0	0	0	0	0	0
ABRACL	1591	1448.02	1035.04	951	1321.16	1255.06
ABT1	960	960	647	572	848	786.2
ABTB1	1600.94	1972	987	905.68	1155	1574.82
ABTB2	39	95	78	36	40	39
ACAA1	1224.38	1721.91	1048	963	1154	1196
ACAA2	1449.99	1092	614	533	1072	847
ACACA	406.21	422	254.95	192	387	230
ACACB	230	419	229	231	178.96	336.91
ACAD10	431	623.15	412	365.29	407	414.21
ACAD11	273.73	619.99	379.65	471.08	304.4	541.56
ACAD8	480	651.97	410	348	416.16	435
ACAD9	886.47	575	363	352	909.98	389
ACADL	0	0	0	0	0	0
ACADM	784	633.5	379	312	589	463.98
ACADS	413	456	351	239	373	361
ACADSB	756	957	571	590	573	762
ACADVL	2163	4042.7	2309.01	1800.16	2037.5	2482.06
ACAN	2	2	1	1	1	2
ACAP1	5657.36	6929.3	3730.06	3578.03	4514.74	5468.91
ACAP2	3091.01	3350.7	1943.01	2088.13	2459.73	2725.64
ACAP3	1178.95	1591.25	774	716	934.08	1049
ACAT1	1088	600	369	325	830	454
ACAT2	635.1	419.75	271.68	228.51	401.4	366.9
ACBD3	721	609	404.02	431	564.85	630.29
ACBD4	308	635	302.96	277	328.03	375.91
ACBD5	1046.12	946.01	544.03	513.92	825.13	767.99
ACBD6	318	322	213	169	267	267
ACBD7	32	41.28	22.06	8	11.07	16.61
ACCS	56	181.1	124	83	79	91
ACCSL	0	0	0	1	0	0
ACD	416.96	392	271	253	358.73	273.78
ACE	354	429	406	521.03	447	514
ACE2	0	0	0	0	0	0
ACER1	3	12	2	0	0	5
ACER2	68	86	33.01	52	40	69
ACER3	313	231.19	122	160.23	213.28	175.32
ACHE	1	4	4	3	1	6
ACIN1	3725.75	4746.49	2725.05	2336	3406	3335.87
ACKR1	0	0	0	0	0	0
ACKR2	2	0	2	0	3.48	3
ACKR3	98.39	121	97	92	107	72
ACKR4	10	7	3	3	4	12
ACLY	3970.04	3862.5	2443.56	2255	3270	3022.87
ACMSD	0	0	0	0	0	0
ACO1	177	208	134	129	158	181
ACO2	1531.65	1589.12	1018.22	875.25	1233.42	1208.42
ACOT1	0	63.62	49.12	18.09	1.2	29.79
ACOT11	5	5	3	4	5	0
ACOT12	0	0	0	0	4	0
ACOT13	371.35	454.67	272.29	233.1	333.27	292.39
ACOT2	428	448.38	236.88	239.91	374.8	397.21
ACOT4	6	28	21	7	7	14
ACOT6	0	0	0	0	0	0
ACOT7	621	259.94	150	97	452	140
ACOT8	309.28	350.33	234	172.28	260	215.09
ACOT9	627.98	747	503	443	630	575
ACOX1	875.87	983.99	572.85	485.42	594.6	743.89
ACOX2	0	0	0	0	0	0
ACOX3	275	349	171	210	246	282
ACOXL	6	6	5	6	3	2
ACP1	1526	1163	746	659	1258	947
ACP2	470	531	326	282	404	329
ACP5	343	655.03	359	326	244	487
ACP6	154	262	194	118.97	114	150
ACPP	0	0	0	0	0	0
ACPT	0	0	0	0	0	0
ACR	0	0	0	0	0	0
ACRBP	8	20	10	8	3	17
ACRC	82	165.01	83.02	65	89	85.13
ACRV1	8	0	0	1	2	0
ACSBG1	1	0	1	0	1	1
ACSBG2	0	1	1	0	0	0
ACSF2	172	217	106	99	125.02	175
ACSF3	621	724.81	484.54	338.88	618	448.91
ACSL1	330.23	357.89	233	217	262	261
ACSL3	433	506.01	324	301	419.01	363
ACSL4	1927	1149	731	728.99	1506.06	975
ACSL5	2461	1881	1027.11	1025	1851.28	1647
ACSL6	417.78	702	371	394.15	272.94	680.98
ACSM1	0	2	0	0	1	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	33.21	17	13.21	10.13	27.07	20.34
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0
ACSS1	2326.89	2856.89	1803.72	1866.24	2306	2118
ACSS2	207	401	200	143	145	263
ACSS3	0	0	0	0	0	0
ACTA1	1	1	0	2	0	2
ACTA2	297.97	173.75	75.95	128.97	174	218.93
ACTA2-AS1	1.03	4.25	2.05	1.03	0	2.07
ACTB	126474.85	77161.31	53702.11	39693.98	97369.22	59313.89
ACTBL2	0	0	0	0	0	0
ACTC1	0	0	2	0	0	0
ACTG1	45255.31	30872.97	21115.76	14719.41	32596.57	22898.67
ACTG1P17	5	21.88	4	4	5	8
ACTG1P20	37	37	24	12	25	28.84
ACTG1P4	3	7	0	2	1	2
ACTG2	0	0	0	0	0	0
ACTL10	105	123	105	67	112	106
ACTL6A	955.3	640.01	388	391	798	495
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	0	2	0
ACTL8	0	1	0	0	0	0
ACTL9	0	0	1	0	0	0
ACTN1	93	375	241	91	94	126
ACTN1-AS1	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0
ACTN3	20	5	4	7	16	20
ACTN4	9192.72	6995.24	4907.21	4184.49	7828.9	5865.06
ACTR10	896	975	557.01	534	708	812
ACTR1A	2122	2043.98	1243	1174.23	1842	1800
ACTR1B	1397.01	1869.07	1152	969	1125	1436
ACTR2	11215.55	8819.35	5650.62	5091.08	8900.86	7309.71
ACTR3	8328	5184.41	3750	3055.95	6855	4331.84
ACTR3B	93.85	107.03	68.98	61.72	81.73	70.49
ACTR3BP2	0	1	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	21.15	22.97	13.02	13.28	27.27	13.51
ACTR5	233	277	147	173	223	232
ACTR6	597	570	317.98	312	414	404
ACTR8	563	763.18	433	375	512	426
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	6	3	4	0	5	5
ACVR1	484	737	476	399	342	579
ACVR1B	45	144	106	65	43	77
ACVR1C	21	38	21	35	15	29
ACVR2A	123.09	248.93	191.29	155.07	160.01	156.37
ACVR2B	267.81	599.6	336.15	233	203	264.99
ACVR2B-AS1	5	2	3	3	4	1
ACVRL1	0	3	0	3	2	1
ACY1	98.51	135.18	104.99	63.1	79	85
ACY3	2	2	0	0	3	1
ACYP1	126	102	56	73	120	83
ACYP2	124.24	94	72	49	76	76
ADA	1518	1331	807	805.07	1198	1189
ADAD1	0	0	0	0	0	0
ADAD2	0	2	2	0	0	1
ADAL	94.93	90.86	66	54	69.19	68.38
ADAM10	2917	3768.96	2307.97	1906.58	2156	2618.04
ADAM11	2	11.41	6	3	6	8
ADAM12	143	115	77	141	166	156
ADAM15	616.96	796	458	449.02	547	569.02
ADAM17	838.08	800.04	504.55	494	650	592.82
ADAM18	0	0	0	0	0	0
ADAM19	2840.67	5563.37	4496	3967.78	3018.91	4109
ADAM1A	80	154	86	111	83.89	129
ADAM2	0	0	0	0	0	0
ADAM20	0	2	0	0	1	1
ADAM20P1	2	4	2	1	3	4
ADAM21	2	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0
ADAM22	90	42	26	36	57	45
ADAM23	9	13	18	22	4	18
ADAM28	12	22	12	7	11	11
ADAM29	0	2	0	4	2	6
ADAM30	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0
ADAM3A	0	1	0	0	0	0
ADAM5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	5431.17	5660	3549	4080	5107.12	5287
ADAM9	179	139	123	93	181.01	103
ADAMDEC1	8	9	6	1	8	7
ADAMTS1	45	25	11	18	33	27
ADAMTS10	28	234.01	133	192	20	179
ADAMTS12	0	0	0	0	0	0
ADAMTS13	34	48	25	13	23	31
ADAMTS14	3	3	5	1	7	1
ADAMTS15	0	3	1	0	1	0
ADAMTS16	0	0	0	1	0	1
ADAMTS17	3	11	18	11	5	14
ADAMTS18	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	0	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0
ADAMTS4	24.47	90.64	64.9	24.08	36.01	49.36
ADAMTS5	0	0	0	0	0	0
ADAMTS6	35	30	25	22.95	34	17
ADAMTS7	4	21	19	4	11	4
ADAMTS7P1	0	13	13	7	5	7
ADAMTS8	5	6	5	2	6	4
ADAMTS9	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	1	0
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	4.02	3	1	0	1	1
ADAMTSL3	0	0	0	0	1	0
ADAMTSL4	15	21	9	18	11	14
ADAMTSL4-AS1	1	4	6	9	3	4
ADAMTSL5	44	64	32	30	25	73
ADAP1	463	267	188	211	565.18	240
ADAP2	3	3	6	7	2	10
ADAR	6403.44	7946.84	4874.82	4140.58	5275.03	5757.04
ADARB1	263	378	308.83	315	341	285
ADARB2	15	107	52	1	5	2
ADARB2-AS1	0	0	0	0	0	0
ADAT1	545.22	830.47	449.13	382.28	490.08	569.25
ADAT2	227	510.85	260.99	195.94	266	238.03
ADAT3	181	110	81	43	141	73
ADCK1	45	84	65	33	34	58
ADCK2	315	400	277	235	339	343
ADCK3	971	1385	799	742.99	805	998
ADCK4	489	601	326	265	391	452
ADCK5	253	404.99	238	235	244	273.99
ADCY1	80	66	49	48	70	44
ADCY10	0	4	0	0	0	1
ADCY10P1	54	89	25.05	57	41	72
ADCY2	0	0	0	0	0	0
ADCY3	621.73	506.97	479.51	606.1	627.77	466.16
ADCY4	88	145	63	52	70	82.17
ADCY5	7	11	1	7	5	6
ADCY6	0	6	2	2	2	1
ADCY7	7160	8293.05	5239.46	4824.57	6992.83	5294.96
ADCY8	0	0	0	0	0	0
ADCY9	632.85	485	283	437	529.86	505
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0
ADD1	6304	6080.79	3701.95	3564.21	5270	4788.47
ADD2	9	12	11	0	15	1
ADD3	11098.06	7925.5	5100	4810.17	9789.22	6264.56
ADD3-AS1	2	1	1	2	2	2
ADGB	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	2	9	1	3	2	2
ADGRA3	4	16	20.04	6	1	5
ADGRB1	9	15	12	6	11	13
ADGRB2	4	7	7	5	7	9
ADGRB3	0	0	0	0	0	0
ADGRD1	2	3	2	0	0	1
ADGRE1	17	83	50	28	14	32
ADGRE2	7.17	9.21	6.17	26.86	3.06	42.84
ADGRE3	0	0	0	0	0	0
ADGRE4P	5	31	12	18	7.16	28
ADGRE5	4285	4715.46	2588.83	2003.35	3079.94	3395.97
ADGRF1	0	0	0	0	0	0
ADGRF2	0	0	0	0	0	0
ADGRF3	25.06	27	22	9	23	9
ADGRF4	3	0	0	0	0	0
ADGRF5	2	0	0	0	1	0
ADGRG1	949	132	132	231	1490.98	167
ADGRG2	2	19	15	3	3	3
ADGRG3	0	6	7	0	0	0
ADGRG4	0	0	0	0	0	0
ADGRG5	1277	544	384	406	1477.58	480
ADGRG6	1	3	2	1	0	1
ADGRG7	0	0	0	0	0	0
ADGRL1	172.41	470.95	273.9	148	136	252
ADGRL2	0	0	0	0	0	0
ADGRL3	0	0	0	0	0	0
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	0
ADGRV1	0	0	0	0	0	0
ADH1A	1	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	2126	1846	1102	1110	1736	1554
ADH6	0	1	0	1	0	0
ADH7	0	0	0	0	0	0
ADHFE1	195	404.25	206	221.01	207.09	312
ADI1	1417	1201	617	469	900	895
ADIG	0	0	0	0	0	0
ADIPOQ	0	1	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	1643	1555	983	859	1184	1343
ADIPOR2	1446.19	1285	798.01	703.08	1226	943
ADIRF	13	12.94	5	1	13	6
ADK	591	541	323	239	414	426
ADM	1	0	0	0	0	1
ADM2	36	65.09	26	28	29	47
ADM5	15	33	12	3	6	29
ADNP	2029.58	2528	1413	1312.51	1589.57	1898.02
ADNP-AS1	12	20	15	16	11	10
ADNP2	672.69	722.43	459	378.04	504	573.74
ADO	519	532	393	321	469	339
ADORA1	5	7	14	11	10	10
ADORA2A	437	637.98	344	201.52	236	503
ADORA2A-AS1	4	7	12	6	4	5
ADORA2B	6	2	1	1	6	5
ADORA3	0	0	0	1	0	1
ADPGK	1446.01	1803.3	1152.37	1055.28	1364.46	1191.45
ADPGK-AS1	7.99	6.7	5.63	6.72	4.54	6.52
ADPRH	200	209	149	91	166	174
ADPRHL1	5	6	3	1	7	8
ADPRHL2	335	406	245	226	297	297
ADPRM	120	204	136	156	105	244.03
ADRA1A	0	0	0	0	1	0
ADRA1B	0	0	0	0	0	1
ADRA1D	0	0	0	0	0	0
ADRA2A	2	0	0	0	1	0
ADRA2B	1	0	0	3	0	1
ADRA2C	0	0	0	0	0	0
ADRB1	1	0	3	3	0	11
ADRB2	957.14	299.74	196.09	366	974	420.73
ADRB3	0	0	0	0	0	0
ADRBK1	9426.98	12247.26	7927.26	6766.29	8417.49	8416.79
ADRBK2	175	600	362.01	188	136.92	275
ADRM1	1536.02	1345	892	715	1305.05	997
ADSL	1077	1162	956	765	999	974
ADSS	1578	1227	827.75	818.84	1264	1152.25
ADSSL1	4	13	4	8	1	9
ADTRP	27	99.03	56	24.98	18	26
AEBP1	21	61.04	19	11	16	13
AEBP2	784	752.22	490	461	619.07	578.83
AEN	855	1186	777	765	712	962.15
AES	16110.91	15379.98	9682.1	8630.56	13405.66	13237.4
AFAP1	132	108	74	137	101	152
AFAP1-AS1	0	0	0	0	0	0
AFAP1L1	0	0	0	1	1	3
AFAP1L2	59.12	90	53	31	40	46
AFF1	1986.69	2273.97	1257.12	1478.34	1650.88	1964.28
AFF2	4	7	1	0	4	3
AFF3	30	31	16	15	30	27.26
AFF4	1636.74	2118	1195	1173	1374	1625
AFG3L1P	506.13	598.24	321.61	387.96	445.23	411
AFG3L2	803.03	892.65	542.87	469.43	635.33	722.64
AFM	0	0	0	0	0	0
AFMID	94.66	103.28	59	67.01	86	64.02
AFP	0	0	0	0	0	0
AFTPH	1425	1426.68	823	881.99	1074.62	1150
AGA	493	478	285	323	399	420
AGAP1	78	47	21	17	73	29
AGAP11	11.08	2.55	0	4.8	3.69	2.03
AGAP2	2798.54	3017.8	1691	1576.79	2238.75	2338.6
AGAP2-AS1	7.48	7.42	8.39	4.2	4.2	11.4
AGAP3	413	428	269	278	289	459.62
AGAP4	208.52	333.05	188.46	274.09	196.28	312.34
AGAP5	125.97	206.84	141.03	132.36	146.13	146.05
AGAP6	367.11	587.29	368.66	437.24	393.76	413.12
AGAP7P	37.9	125.56	45.64	41.17	40.03	59.61
AGAP9	100.5	206.97	142.71	79.73	118.88	92.57
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	29	90	44	28	40	49
AGBL3	3	6	1	1	0	1
AGBL4	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	350	364	223	167	295	246
AGBL5-AS1	0	1	0	0	1	0
AGER	292	496	203.2	202.37	267	377
AGFG1	1206.42	1230.02	839.23	697	843.01	1047.03
AGFG2	1154.72	1141.1	756.27	913	1048	1050.16
AGGF1	1077	1152	710.63	621	884.01	844.3
AGK	544.77	654	445	339	500.25	466
AGL	744	822.99	472	458	600	617
AGMAT	181.05	268.8	193.87	119.99	199.08	144.96
AGMO	0	0	0	0	0	0
AGO1	855	1069.6	632	576.02	739	802
AGO2	504	855.03	469	546.44	577	561
AGO3	246	324	162	176	228	220
AGO4	2473.49	2574.92	1558.08	2047.99	2072.85	2502.95
AGPAT1	1208	1332	707	550	810	959
AGPAT2	216	227	142	92	129	177.84
AGPAT3	1626	1713	1105	1010.01	1371.79	1346.49
AGPAT4	533.77	503.97	405.33	549	741	410.16
AGPAT4-IT1	11	23	11	34	34	20
AGPAT5	481	502	343	289	408.98	357.6
AGPAT6	1276	1798.64	1094	1100	1306	1235.98
AGPAT9	110.92	306	227	291.04	127	331.64
AGPS	1416.03	1144.04	772	731	1212.96	914
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	86	125	67.83	55	47	100
AGRP	0	0	0	0	0	0
AGT	0	0	0	0	0	0
AGTPBP1	1285	1292.75	791	657.01	956	906.99
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	217	312	190	119	136	176
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	1493.59	1844.93	1131.81	1153	1316.91	1430.97
AHCTF1P1	10.39	19.07	1.19	0	7.09	9.03
AHCY	621.05	433	319	189	462	326
AHCYL1	1523	1765.9	1138.47	958.94	1277.86	1315.16
AHCYL2	481	785	414	376	390	482
AHDC1	285	494	245	187.99	227.04	270
AHI1	196.93	320.4	274	178	189	236
AHNAK	75354.79	61063.85	41038.22	55657.26	75093.04	59569.11
AHNAK2	0	1	2	3	0	2
AHR	903.74	921.27	644.99	691	586.18	1002
AHRR	841	1194.86	578	498.27	626.56	719
AHSA1	1201	1070	757	522	1048.99	759
AHSA2	1410.96	2437.45	1231	1404	1571.04	1711
AHSG	0	1	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	64	68.76	52.99	46.24	65	36
AIDA	2347	1886.35	1294.92	1262	2012	1458
AIF1	4	35	20	5	3	4
AIF1L	4	3	2	1	1	3
AIFM1	815	739	435	360	654	522
AIFM2	112	124	81	36	70	98
AIFM3	1	7	0	1	1	1
AIG1	31	16	17	13	21	28
AIM1	2877	2191	1436	1474.57	2579.52	1906.99
AIM1L	177	53	30	59	227	72
AIM2	247	225	163	163	198	199.14
AIMP1	636.25	693.01	451.94	414.35	556.64	568.16
AIMP2	213.03	164.53	141.9	104.1	195.91	146.42
AIP	2121	2147	1319	982	1624.55	1587
AIPL1	0	0	0	1.07	0	0
AIRE	38	11	15	23	50	8
AIRN	0	2	0	3	0	0
AJAP1	0	0	0	1	0	0
AJUBA	16	14	12	7	11	12
AK1	891.97	2262.03	1061.96	1288.15	870.77	1840.57
AK2	1816	1615.99	1027	800.99	1652.01	1126
AK3	964	1006.34	657.51	520	706.35	713.7
AK4	55	64	33	49	60	42
AK5	19	114	65	17	26	56
AK6	177.81	176.58	122.63	106.27	154.19	142
AK7	1	0	0	0	1	0
AK8	1	1	1	1	0	0
AK9	121.75	125	77	91	91	102
AKAP1	382.01	636	383	362.88	406	453
AKAP10	833.98	996.93	559.99	536	740.98	682
AKAP11	1786.36	2810.29	1719.95	1526.06	1587.91	1895.62
AKAP12	6	9	10	6	6	7
AKAP13	7055.13	7040.42	4985.51	5343.84	7536.53	5587.21
AKAP14	0	0	0	0	0	3
AKAP17A	2851	5088	3431.57	3275.97	3205	3395
AKAP2	1422.29	1209.07	757	611	1068.02	876.04
AKAP3	20	38	26	15	18	28
AKAP4	0	0	0	0	0	0
AKAP5	44.76	116.77	126.99	71	59.12	51.99
AKAP6	1	1	2	0	1	2
AKAP7	115	155	77	65	52	97
AKAP8	931	1128	586.74	643	861	796.02
AKAP8L	1130	1772	1178	1021	1173	1272.99
AKAP9	2275.07	3070	1927.01	2045.01	2063	2345
AKIP1	373.96	310.95	203.03	203.28	296.93	280.95
AKIRIN1	1658.35	2260.66	1374.64	1673.23	1513.92	2278.01
AKIRIN2	912.91	950.08	651.02	494	763	736.08
AKNA	14880.8	16430.98	11132.03	10310.04	14055.62	12090.01
AKNAD1	0	1	2	0	0	0
AKR1A1	472	627	488	360	538	471
AKR1B1	1303	1326	827.14	659	1011.07	1037
AKR1B10	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	3	6	5	3	2	3
AKR1C2	0	2.01	1	0	1	2.01
AKR1C3	186	278.99	215	113	151	163.99
AKR1C4	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1C8P	1	4	1	2	7	0
AKR1D1	0	0	1	2	0	1
AKR1E2	7	13	7	5	10	4
AKR7A2	648	678	465	324	498	457.99
AKR7A2P1	2	0	0	1	1	1
AKR7A3	1	8	5	1	1	5
AKR7L	3	7	1	1	2	4
AKT1	2500	2607.9	1640.05	1390.96	2121.01	1980
AKT1S1	472	458	248	203	356	358
AKT2	2318.87	2727	1531	1294	1925.99	1978
AKT3	925.93	699.28	430.35	598.23	781.88	803.3
AKTIP	651.21	886.56	654.52	535.76	651.12	636.29
ALAD	811	1163	670.95	511	670	793
ALAS1	662	839	604	411	565	656
ALAS2	0	0	0	0	0	0
ALB	0	3	0	0	0	0
ALCAM	207	215	160.03	206	199	237
ALDH16A1	1190.32	1399	882	609.08	952	783.98
ALDH18A1	895.27	914.73	539	473.99	692	704
ALDH1A1	0	0	0	0	0	0
ALDH1A2	0	1	0	0	0	0
ALDH1A3	0	1	0	0	5	0
ALDH1B1	147.01	75.46	65	82.85	175.34	78
ALDH1L1	0	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0
ALDH1L2	2	17	11	7	7	0
ALDH2	16	24	22	11	12	20
ALDH3A1	0	0	0	0	0	0
ALDH3A2	451	569	368	297	393	363
ALDH3B1	3	7	4	7	7	6
ALDH3B2	0	0	0	0	0	0
ALDH4A1	94	133	78	56	104	65
ALDH5A1	120	132	78	34	78.89	39
ALDH6A1	497.95	682.74	382.63	333.1	375.62	501.09
ALDH7A1	5	2	1	0	6	0
ALDH8A1	5	7	3	8	4	6
ALDH9A1	951	1142	576	420	628	818
ALDOA	6174.9	7238.08	4527	3447	4897	5709.07
ALDOB	2	0	0	0	2	1
ALDOC	241	476	293	177	190	294
ALG1	419.62	391.82	226.84	232.94	335.04	321.43
ALG10	232	225	141.25	141	180	170.01
ALG10B	386.01	572.58	292.18	298.01	393	363.99
ALG11	170.1	198.67	148.26	124.88	191.23	163.3
ALG12	650	696.99	390.52	378	502.99	535
ALG13	470	810.88	445.96	450	381	545.02
ALG14	78	48	17	25	66	34
ALG1L	6	4	1	1	3	1
ALG1L2	4	3	1	3	4	1
ALG1L9P	8.19	11.94	7.01	8	7.21	11
ALG2	578	767.68	460	434	507	549
ALG3	301	374	222	188	275.12	224
ALG5	307	307	190	167	264	230
ALG6	351	377	229	213	329	304.59
